"","X","datetimeAK","DO.obs","ODO.Psat","localDissolvedOxygenSat","temp.water","discharge","depth","turbidity","fDOM","solar.time","DO.sat.EXO","light"
"9251",10495,2019-08-23 23:30:00,12.3103333333333,93.0533333333333,NA,3.482,562.594,0.368,0.523333333333333,NA,2019-08-23 21:41:40,13.2293308496919,0
"9252",10496,2019-08-23 23:45:00,12.3316666666667,93.071,NA,3.427,555.905333333333,0.366666666666667,0.502333333333333,NA,2019-08-23 21:56:40,13.2497412369768,0
"9253",10497,2019-08-24 00:00:00,12.356,93.119,NA,3.37183333333333,569.18,0.370666666666667,0.503666666666667,NA,2019-08-23 22:11:40,13.2690428376593,0
"9254",10498,2019-08-24 00:15:00,12.379,93.157,NA,3.31483333333333,560.149333333333,0.367333333333333,0.546666666666667,NA,2019-08-23 22:26:40,13.288319718325,0
"9255",10499,2019-08-24 00:30:00,12.4023333333333,93.1853333333333,NA,3.25833333333333,560.894,0.368666666666667,0.531333333333333,NA,2019-08-23 22:41:40,13.3093190630858,0
"9256",10500,2019-08-24 00:45:00,12.4233333333333,93.2033333333333,NA,3.20266666666667,555.454666666667,0.366,0.568,NA,2019-08-23 22:56:40,13.3292800686671,0
"9257",10501,2019-08-24 01:00:00,12.442,93.23,NA,3.153,557.225333333333,0.367333333333333,0.551333333333333,NA,2019-08-23 23:11:40,13.3454896492545,0
"9258",10502,2019-08-24 01:15:00,12.4593333333333,93.2506666666667,NA,3.113,556.792666666667,0.366,0.535,NA,2019-08-23 23:26:40,13.3611198490091,0
"9259",10503,2019-08-24 01:30:00,12.472,93.2566666666667,NA,3.07733333333333,563.094,0.368666666666667,0.516666666666667,NA,2019-08-23 23:41:40,13.3738427994424,0
"9260",10504,2019-08-24 01:45:00,12.4833333333333,93.2606666666667,NA,3.04583333333333,555.013333333333,0.366,0.533,NA,2019-08-23 23:56:40,13.3854215067445,0
"9261",10505,2019-08-24 02:00:00,12.4923333333333,93.262,NA,3.01933333333333,549.077333333333,0.363333333333333,0.595666666666667,NA,2019-08-24 00:11:40,13.3948803728564,0
"9262",10506,2019-08-24 02:15:00,12.5016666666667,93.2643333333333,NA,2.99483333333333,568.369333333333,0.369333333333333,0.556,NA,2019-08-24 00:26:40,13.4045526514244,0
"9263",10507,2019-08-24 02:30:00,12.5066666666667,93.2566666666667,NA,2.97433333333333,558.012,0.366,0.537,NA,2019-08-24 00:41:40,13.4110161918719,0
"9264",10508,2019-08-24 02:45:00,12.5123333333333,93.2496666666667,NA,2.956,560.378,0.366666666666667,0.546666666666667,NA,2019-08-24 00:56:40,13.4180997966034,0
"9265",10509,2019-08-24 03:00:00,12.5196666666667,93.2486666666667,NA,2.94066666666667,560.280666666667,0.368,0.554,NA,2019-08-24 01:11:40,13.4261079693722,0
"9266",10510,2019-08-24 03:15:00,12.5206666666667,93.2463333333333,NA,2.9275,561.176,0.368666666666667,0.567,NA,2019-08-24 01:26:40,13.4275163634674,0
"9267",10511,2019-08-24 03:30:00,12.5253333333333,93.2476666666667,NA,2.91416666666667,553.6,0.365333333333333,0.563,NA,2019-08-24 01:41:40,13.4323289590803,0
"9268",10512,2019-08-24 03:45:00,12.5296666666667,93.239,NA,2.89983333333333,557.682666666667,0.366666666666667,0.568,NA,2019-08-24 01:56:40,13.4382250631889,0
"9269",10513,2019-08-24 04:00:00,12.535,93.242,NA,2.88166666666667,560.242,0.367333333333333,0.567333333333333,NA,2019-08-24 02:11:40,13.4435125801677,0
"9270",10514,2019-08-24 04:15:00,12.541,93.218,NA,2.85833333333333,551.19,0.364666666666667,0.555,NA,2019-08-24 02:26:40,13.4534102855672,0
"9271",10515,2019-08-24 04:30:00,12.5463333333333,93.1923333333333,NA,2.83133333333333,563.48,0.369333333333333,0.534333333333333,NA,2019-08-24 02:41:40,13.4628385024519,0
"9272",10516,2019-08-24 04:45:00,12.5583333333333,93.214,NA,2.8045,562.781333333333,0.368,0.560666666666667,NA,2019-08-24 02:56:40,13.4725828022972,0
"9273",10517,2019-08-24 05:00:00,12.5686666666667,93.23,NA,2.77966666666667,555.727333333333,0.366,0.551666666666667,NA,2019-08-24 03:11:40,13.4813543566091,0
"9274",10518,2019-08-24 05:15:00,12.5783333333333,93.25,NA,2.757,555.226666666667,0.366666666666667,0.59,NA,2019-08-24 03:26:40,13.4888293118856,0
"9275",10519,2019-08-24 05:30:00,12.586,93.2533333333333,NA,2.73683333333333,555.431333333333,0.364666666666667,0.586333333333333,NA,2019-08-24 03:41:40,13.4965684872748,0
"9276",10520,2019-08-24 05:45:00,12.5993333333333,93.296,NA,2.7165,553.408,0.366,0.598333333333333,NA,2019-08-24 03:56:40,13.5046875893214,0
"9277",10521,2019-08-24 06:00:00,12.6123333333333,93.342,NA,2.6985,552.543333333333,0.365333333333333,0.612,NA,2019-08-24 04:11:40,13.5119596037511,0
"9278",10522,2019-08-24 06:15:00,12.6206666666667,93.3586666666667,NA,2.6815,547.716,0.364666666666667,0.578666666666667,NA,2019-08-24 04:26:40,13.5184735571773,29.1631141231568
"9279",10523,2019-08-24 06:30:00,12.628,93.386,NA,2.66833333333333,545.112666666667,0.362666666666667,0.592333333333333,NA,2019-08-24 04:41:40,13.5223695200565,87.3014699697866
"9280",10524,2019-08-24 06:45:00,12.6363333333333,93.423,NA,2.65516666666667,549.581333333333,0.363333333333333,0.592333333333333,NA,2019-08-24 04:56:40,13.5259340133943,146.852663776569
"9281",10525,2019-08-24 07:00:00,12.6463333333333,93.4536666666667,NA,2.6395,552.532,0.364,0.642,NA,2019-08-24 05:11:40,13.5321959901698,207.561591239187
"9282",10526,2019-08-24 07:15:00,12.659,93.5076666666667,NA,2.62433333333333,547.467333333333,0.363333333333333,0.615666666666667,NA,2019-08-24 05:26:40,13.5379273713742,269.168188496942
"9283",10527,2019-08-24 07:30:00,12.674,93.5753333333333,NA,2.6085,545.955333333333,0.362666666666667,0.6,NA,2019-08-24 05:41:40,13.5441676225216,331.408546238379
"9284",10528,2019-08-24 07:45:00,12.682,93.6006666666667,NA,2.59483333333333,553.366,0.365333333333333,0.656,NA,2019-08-24 05:56:40,13.5490487959487,394.01604013233
"9285",10529,2019-08-24 08:00:00,12.691,93.6473333333333,NA,2.5845,544.069333333333,0.363333333333333,0.578,NA,2019-08-24 06:11:40,13.5519075111589,456.722473038165
"9286",10530,2019-08-24 08:15:00,12.6983333333333,93.6876666666667,NA,2.58,552.194,0.366666666666667,0.598666666666667,NA,2019-08-24 06:26:40,13.5539007268833,519.259223938279
"9287",10531,2019-08-24 08:30:00,12.708,93.7596666666667,NA,2.58216666666667,551.99,0.366,0.596,NA,2019-08-24 06:41:40,13.5538024523694,581.358398603189
"9288",10532,2019-08-24 08:45:00,12.7126666666667,93.817,NA,2.591,554.513333333333,0.366,0.612333333333333,NA,2019-08-24 06:56:40,13.5504936916195,642.753977211319
"9289",10533,2019-08-24 09:00:00,12.714,93.8693333333333,NA,2.60966666666667,537.072,0.358666666666667,0.578,NA,2019-08-24 07:11:40,13.5443595352405,703.18295389026
"9290",10534,2019-08-24 09:15:00,12.711,93.9036666666667,NA,2.636,549.549333333333,0.364,0.583,NA,2019-08-24 07:26:40,13.5362126434538,762.38646349231
"9291",10535,2019-08-24 09:30:00,12.7023333333333,93.935,NA,2.66933333333333,548.093333333333,0.363333333333333,0.57,NA,2019-08-24 07:41:40,13.5224712123632,820.110890359823
"9292",10536,2019-08-24 09:45:00,12.693,93.9596666666667,NA,2.7095,541.566,0.360666666666667,0.618666666666667,NA,2019-08-24 07:56:40,13.5089878990631,876.10895487645
"9293",10537,2019-08-24 10:00:00,12.679,93.9816666666667,NA,2.7575,546.929333333333,0.362666666666667,0.608,NA,2019-08-24 08:11:40,13.4909290819131,930.140772731022
"9294",10538,2019-08-24 10:15:00,12.6606666666667,93.9916666666667,NA,2.81416666666667,545.212666666667,0.363333333333333,0.586333333333333,NA,2019-08-24 08:26:40,13.4699884741555,981.974882548796
"9295",10539,2019-08-24 10:30:00,12.6433333333333,94.025,NA,2.87866666666667,547.078,0.363333333333333,0.625666666666667,NA,2019-08-24 08:41:40,13.4467783390942,1031.38923737297
