"","new","X","datetimeAK","temp.water","ODO.Psat","ODO.Ploc","DO.obs","discharge","Site","depth","light","DO.sat.EXO","solar.time","ODO.mgL.Calc"
"11986",5626,42599,2021-07-31 01:05:00,7.1409696969697,94.118063616859,NA,11.142688150237,532.883763482358,"POKE",0.395007140368205,11.8512625143317,11.8397253006927,2021-07-30 23:18:57,NA
"11987",5626,42600,2021-07-31 01:10:00,7.11793939393939,94.1088486050467,NA,11.1467258545334,531.930555962928,"POKE",0.39498518990705,14.3200832685187,11.8444110031625,2021-07-30 23:23:57,NA
"11988",5627,42601,2021-07-31 01:15:00,7.09490909090909,94.1,94.4,11.15,530.969338039082,"POKE",0.394900705737093,15.89,11.8490967056323,2021-07-30 23:28:57,11.3973312726288
"11989",5628,42602,2021-07-31 01:20:00,7.07175757575758,94.0996084813268,NA,11.1569940681297,533.844981406262,"POKE",0.394998829107656,20.1969597109454,11.8561813673397,2021-07-30 23:33:57,NA
"11990",5628,42603,2021-07-31 01:25:00,7.04860606060606,94.0994344864488,NA,11.1633205068745,537.665821888455,"POKE",0.395034418769415,23.6050153991849,11.8632660290471,2021-07-30 23:38:57,NA
"11991",5629,42604,2021-07-31 01:30:00,7.02545454545455,94.1,94.4,11.17,530.977348443499,"POKE",0.394902864424151,26.18,11.8703506907545,2021-07-30 23:43:57,11.4170413169675
"11992",5630,42605,2021-07-31 01:35:00,6.9999393939394,94.0995023274984,NA,11.1764359872759,534.806199330167,"POKE",0.395259394931351,31.2915750639061,11.8774353524619,2021-07-30 23:48:57,NA
"11993",5630,42606,2021-07-31 01:40:00,6.97442424242424,94.0995378749819,NA,11.183118276983,536.712614369026,"POKE",0.395448781431528,35.5700790403877,11.8845200141693,2021-07-30 23:53:57,NA
"11994",5631,42607,2021-07-31 01:45:00,6.94890909090909,94.1,94.3636363636364,11.19,535.759406849596,"POKE",0.39554613254527,39.41,11.8916046758767,2021-07-30 23:58:57,11.4388322483358
"11995",5632,42608,2021-07-31 01:50:00,6.92193939393939,94.099272517422,NA,11.1965469048041,537.665821888455,"POKE",0.395912240396449,44.5853478093232,11.8986893375841,2021-07-31 00:03:57,NA
"11996",5632,42609,2021-07-31 01:55:00,6.8949696969697,94.0987939745633,NA,11.2032412412499,533.844981406262,"POKE",0.396186312861192,49.322112601777,11.9057739992915,2021-07-31 00:08:57,NA
"11997",5633,42610,2021-07-31 02:00:00,6.868,94.1,94.4,11.21,537.673832292872,"POKE",0.396319997108956,54.005,11.9128586609989,2021-07-31 00:13:57,11.4619439480802
"11998",5634,42611,2021-07-31 02:05:00,6.842,94.0777295002257,NA,11.2166283934625,535.759406849596,"POKE",0.396863635404085,58.8519368850496,11.922635343476,2021-07-31 00:18:57,NA
"11999",5634,42612,2021-07-31 02:10:00,6.816,94.0572031526604,NA,11.2233054046568,539.580247331731,"POKE",0.397266885482235,63.6449963758684,11.932412025953,2021-07-31 00:23:57,NA
"12000",5635,42613,2021-07-31 02:15:00,6.79,94.0363636363636,94.3,11.23,538.627039812302,"POKE",0.398123522403833,67.34,11.94218870843,2021-07-31 00:28:57,11.4765349904293
"12001",5636,42614,2021-07-31 02:20:00,6.76281818181818,94.0244073157973,NA,11.2366518794053,542.455890698911,"POKE",0.397656203686612,74.3784374335933,11.950820841081,2021-07-31 00:33:57,NA
"12002",5636,42615,2021-07-31 02:25:00,6.73563636363637,94.0123403189302,NA,11.2433183314069,545.31551325717,"POKE",0.397642271812838,80.3188190004993,11.959452973732,2021-07-31 00:38:57,NA
"12003",5637,42616,2021-07-31 02:30:00,6.70845454545455,94,94.3,11.25,544.362305737741,"POKE",0.397991846617725,84.175,11.968085106383,2021-07-31 00:43:57,11.495526715622
"12004",5638,42617,2021-07-31 02:35:00,6.68230303030303,93.9999715669438,NA,11.256636888325,541.48666237056,"POKE",0.397279928960014,94.3772940290547,11.9751773049645,2021-07-31 00:48:57,NA
"12005",5638,42618,2021-07-31 02:40:00,6.65615151515152,93.9996798570454,NA,11.2632922522291,539.572236927284,"POKE",0.396931517980964,102.495387490704,11.9822695035461,2021-07-31 00:53:57,NA
"12006",5639,42619,2021-07-31 02:45:00,6.63,94,94.3,11.27,534.798188925692,"POKE",0.395931445811817,108.535,11.9893617021277,2021-07-31 00:58:57,11.5181466189786
"12007",5640,42620,2021-07-31 02:50:00,6.60281818181818,93.9990320845811,NA,11.2765666578118,536.712614369026,"POKE",0.396834319261177,120.903310073097,11.9964539007092,2021-07-31 01:03:57,NA
