Site Name ,FRCH,,,
Site Number ,3,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,11615,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
553,17/06/2020 , 07:15:00,3133,3133
554,17/06/2020 , 07:30:00,2970,2970
555,17/06/2020 , 07:45:00,2942,2942
556,17/06/2020 , 08:00:00,3150,3150
557,17/06/2020 , 08:15:00,3127,3127
558,17/06/2020 , 08:30:00,4050,4050
559,17/06/2020 , 08:45:00,8808,8808
560,17/06/2020 , 09:00:00,8859,8859
561,17/06/2020 , 09:15:00,5106,5106
562,17/06/2020 , 09:30:00,10562,10562
563,17/06/2020 , 09:45:00,5820,5820
564,17/06/2020 , 10:00:00,21234,21234
565,17/06/2020 , 10:15:00,9245,9245
566,17/06/2020 , 10:30:00,8561,8561
567,17/06/2020 , 10:45:00,5647,5647
568,17/06/2020 , 11:00:00,32901,32901
569,17/06/2020 , 11:15:00,20003,20003
570,17/06/2020 , 11:30:00,19335,19335
571,17/06/2020 , 11:45:00,41855,41855
572,17/06/2020 , 12:00:00,34447,34447
573,17/06/2020 , 12:15:00,13270,13270
574,17/06/2020 , 12:30:00,15247,15247
575,17/06/2020 , 12:45:00,8879,8879
576,17/06/2020 , 13:00:00,33407,33407
577,17/06/2020 , 13:15:00,47859,47859
578,17/06/2020 , 13:30:00,41993,41993
579,17/06/2020 , 13:45:00,39335,39335
580,17/06/2020 , 14:00:00,31230,31230
581,17/06/2020 , 14:15:00,39685,39685
582,17/06/2020 , 14:30:00,27572,27572
583,17/06/2020 , 14:45:00,25067,25067
584,17/06/2020 , 15:00:00,11749,11749
585,17/06/2020 , 15:15:00,10768,10768
586,17/06/2020 , 15:30:00,16551,16551
587,17/06/2020 , 15:45:00,13671,13671
588,17/06/2020 , 16:00:00,13629,13629
589,17/06/2020 , 16:15:00,15649,15649
590,17/06/2020 , 16:30:00,17916,17916
591,17/06/2020 , 16:45:00,36324,36324
592,17/06/2020 , 17:00:00,27026,27026
593,17/06/2020 , 17:15:00,19274,19274
