agency_cd,site_no,datetime,tz_cd,1760_00060,1760_00060_cd
USGS,15484000,5/8/2022 15:00,AKDT,6200,A
USGS,15484000,5/8/2022 15:15,AKDT,6200,A
USGS,15484000,5/8/2022 15:30,AKDT,6170,A
USGS,15484000,5/8/2022 15:45,AKDT,6170,A
USGS,15484000,5/8/2022 16:00,AKDT,6150,A
USGS,15484000,5/8/2022 16:15,AKDT,6170,A
USGS,15484000,5/8/2022 16:30,AKDT,6170,A
USGS,15484000,5/8/2022 16:45,AKDT,6200,A
USGS,15484000,5/8/2022 17:00,AKDT,6150,A
USGS,15484000,5/8/2022 17:15,AKDT,6130,A
USGS,15484000,5/8/2022 17:30,AKDT,6150,A
USGS,15484000,5/8/2022 17:45,AKDT,6170,A
USGS,15484000,5/8/2022 18:00,AKDT,6200,A
USGS,15484000,5/8/2022 18:15,AKDT,6170,A
USGS,15484000,5/8/2022 18:30,AKDT,6130,A
USGS,15484000,5/8/2022 18:45,AKDT,6200,A
USGS,15484000,5/8/2022 19:00,AKDT,6150,A
USGS,15484000,5/8/2022 19:15,AKDT,6200,A
USGS,15484000,5/8/2022 19:30,AKDT,6170,A
USGS,15484000,5/8/2022 19:45,AKDT,6200,A
USGS,15484000,5/8/2022 20:00,AKDT,6200,A
USGS,15484000,5/8/2022 20:15,AKDT,6170,A
USGS,15484000,5/8/2022 20:30,AKDT,6170,A
